Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-97,905.2,941.4,905.2,939.55,38948210,978.21
2-Jan-97,941.95,944,925.05,927.05,49118380,1150.42
3-Jan-97,924.3,932.6,919.55,931.65,35263845,866.74
6-Jan-97,932.45,937.95,925.65,927.8,26323660,665.51
7-Jan-97,926.35,935.15,922.25,928.8,44473415,1050.05
8-Jan-97,937.35,953.1,937.35,946.7,49517340,1222.85
9-Jan-97,945.15,959.75,943.6,956.6,39566905,1001.82
10-Jan-97,962.7,984.1,962.7,980.35,52001500,1421.45
13-Jan-97,978.55,982.25,965.5,980.7,40185285,1103.08
14-Jan-97,984,994.4,977.7,989.3,49911225,1400.01
15-Jan-97,997.5,1042.75,997.05,1041.8,53368615,1380.93
16-Jan-97,1064.05,1085.75,995.35,1009.4,77685385,2140.11
17-Jan-97,994.1,1009.7,976.35,1001.75,68737285,1938.74
20-Jan-97,1004.1,1005.55,973.95,977,48113790,1405.17
21-Jan-97,972.1,980.2,956.45,960.5,51642490,1426.08
22-Jan-97,971.4,992.9,971.4,987.1,51947285,1444.35
24-Jan-97,991.05,991.4,979.55,985.9,49858775,1412.15
27-Jan-97,993.15,1017.3,990.3,1009.15,63131295,1836.31
28-Jan-97,1016,1025.1,1007.95,1021.8,54183330,1525.17
29-Jan-97,1038.1,1043.9,1007.1,1017.2,69064510,1996
30-Jan-97,1010.6,1012.85,993.5,1000,61831230,1749.93
31-Jan-97,988.7,988.7,965.85,972.65,59785210,1645.32
3-Feb-97,967.9,967.9,944.2,948.2,53189325,1401.33
4-Feb-97,947,963.2,944.45,958.3,55622410,1419.81
5-Feb-97,970.75,984.8,959.5,962.5,44915395,1210.42
6-Feb-97,960.75,972.4,953.95,967.75,49655895,1354.6
7-Feb-97,969.5,980.95,966.5,978.8,47450205,1344.12
10-Feb-97,981,986.75,975.15,981.45,45814740,1347.73
11-Feb-97,980.95,996.05,978.85,992.75,40528475,1161.9
12-Feb-97,991.65,1008.8,990.9,1001,47172975,1466.88
13-Feb-97,998.45,1005.1,995.35,1002.15,31742790,933.91
14-Feb-97,1001.3,1011.85,1001.1,1009.45,33065685,959.39
