Date,Close,Days
1997-01-08,946.7,0
1997-01-09,956.6,1
1997-01-10,980.35,1
1997-01-13,980.7,3
1997-01-14,989.3,1
1997-01-15,1041.8,1
1997-03-01,1102.95,45
1997-03-03,1107.7,2
1997-03-04,1117.3,1
1997-03-05,1132.9,1
1997-06-13,1136.3,100
1997-06-17,1138.8,4
1997-06-18,1159.8,1
1997-06-25,1161.9,7
1997-06-26,1168.2,1
1997-06-27,1169.65,1
1997-06-30,1192.4,3
1997-07-01,1200.45,1
1997-07-02,1222.95,1
1997-07-09,1236.55,7
1997-07-10,1239.15,1
1997-08-04,1250.4,25
1997-08-05,1273.15,1
1997-08-06,1292.95,1
1999-07-12,1315.35,705
1999-07-13,1321.45,1
1999-07-14,1335.15,1
1999-07-19,1349.6,5
1999-08-18,1363.35,30
1999-08-23,1369.7,5
1999-08-24,1382.65,1
1999-08-26,1402.5,2
1999-08-27,1417.5,1
1999-08-30,1422.6,3
1999-10-07,1469.75,38
1999-10-08,1479.25,1
1999-10-11,1484.0,3
1999-10-13,1496.3,2
1999-10-14,1505.2,1
2000-01-03,1592.2,81
2000-01-04,1638.7,1
2000-02-08,1662.75,35
2000-02-09,1689.65,1
2000-02-10,1711.2,1
2000-02-11,1756.0,1
2003-12-18,1756.1,1406
2003-12-19,1778.55,1
2003-12-22,1789.15,3
2003-12-24,1808.7,2
2003-12-26,1837.05,2
2003-12-29,1874.05,3
2003-12-31,1879.75,2
2004-01-01,1912.25,1
2004-01-02,1946.05,1
2004-01-05,1955.0,3
2004-01-08,1968.55,3
2004-01-09,1971.9,1
2004-01-14,1982.15,5
2004-12-02,1999.0,323
2004-12-14,2006.8,12
2004-12-15,2028.7,1
2004-12-16,2033.2,1
2004-12-21,2044.65,5
2004-12-23,2045.15,2
2004-12-24,2062.7,1
2004-12-28,2071.35,4
2004-12-31,2080.5,3
2005-01-03,2115.0,3
2005-03-03,2128.85,59
2005-03-04,2148.15,1
2005-03-07,2160.1,3
2005-03-08,2168.95,1
2005-06-21,2170.0,105
2005-06-22,2187.35,1
2005-06-24,2194.35,2
2005-06-27,2199.8,3
2005-06-30,2220.6,3
2005-07-04,2230.65,4
2005-07-18,2234.0,14
2005-07-19,2237.3,1
2005-07-20,2241.9,1
2005-07-22,2265.6,2
2005-07-25,2291.75,3
2005-07-26,2303.15,1
2005-07-27,2319.1,1
2005-08-02,2353.65,6
2005-08-03,2357.0,1
2005-08-04,2367.8,1
2005-08-11,2380.9,7
2005-08-17,2403.15,6
2005-09-01,2405.75,15
2005-09-02,2415.8,1
2005-09-05,2422.95,3
2005-09-06,2428.65,1
2005-09-08,2454.45,2
2005-09-09,2455.45,1
2005-09-12,2484.15,3
2005-09-13,2500.35,1
2005-09-15,2523.95,2
2005-09-16,2552.35,1
2005-09-19,2567.1,3
2005-09-20,2578.0,1
2005-09-28,2598.05,8
2005-09-29,2611.2,1
2005-10-03,2630.05,4
2005-10-04,2663.35,1
2005-11-25,2664.3,52
2005-11-26,2683.45,1
2005-11-28,2712.0,2
2005-12-09,2756.45,11
2005-12-12,2776.2,3
2005-12-13,2812.3,1
2005-12-19,2842.6,6
2006-01-03,2883.35,15
2006-01-04,2904.4,1
2006-01-06,2914.0,2
2006-01-25,2940.35,19
2006-01-27,2982.75,2
2006-01-31,3001.1,4
2006-02-07,3020.1,7
2006-02-10,3027.55,3
2006-02-13,3041.15,3
2006-02-22,3050.8,9
2006-02-23,3062.1,1
2006-02-27,3067.45,4
2006-02-28,3074.7,1
2006-03-01,3123.1,1
2006-03-02,3150.7,1
2006-03-06,3190.4,4
2006-03-13,3202.65,7
2006-03-16,3226.6,3
2006-03-17,3234.05,1
2006-03-20,3265.65,3
2006-03-24,3279.8,4
2006-03-27,3321.65,3
2006-03-28,3325.0,1
2006-03-29,3354.2,1
2006-03-30,3418.95,1
2006-04-03,3473.3,4
2006-04-04,3483.15,1
2006-04-05,3510.9,1
2006-04-18,3518.1,13
2006-04-19,3535.85,1
2006-04-20,3573.5,1
2006-05-02,3605.45,12
2006-05-03,3634.25,1
2006-05-04,3648.4,1
2006-05-05,3663.95,1
2006-05-08,3693.15,3
2006-05-09,3720.55,1
2006-05-10,3754.25,1
2006-10-30,3769.1,173
2006-11-02,3791.2,3
2006-11-03,3805.35,1
2006-11-06,3809.25,3
2006-11-10,3834.75,4
2006-11-13,3858.75,3
2006-11-14,3865.9,1
2006-11-15,3876.3,1
2006-11-16,3876.85,1
2006-11-21,3918.25,5
2006-11-22,3954.75,1
